//label,M (g),R (m),,
   ,-23.776602,-10.276399,,
Proton,-23.776602,-15.057099,,
Electron,-27.040511,-12.413234,,
Higgs Boson,-21.652021,-17.801724,N,
Sgr A*,39.900717,10.072481,,
Cyg X--1 ,34.474748,4.6465123,,
BH$_{\text{M87}}$,43.14,13.32,,
Milky Way,45.298657,20.975925,N,
Solar System,33.298657,13.174925,,
Earth,27.776283,6.8042083,,
Moon,25.866189,6.2400498,,
Me,4.832757,-0.032873419,N,
//Pluto,25.11694,6.0749406,,
Mt. Everest,17.209334,3.645817,,
Cell,-8.3779114,-5,N,assuming waterdensity
Blue Whale,8.1335389,1.146128,S,
Buckyball,-20.922021,-9.4497716,,
Sun,33.298657,8.8426092,,
Universe,56.042474,26.214238,NW,Hubble sphere at CC
???,-4.8127545,-34.64099,,
Neutrinos?,-34.748931,-4.7048135,,
Axion?,-37.301773,-2.1519716,,
WIMP?,-20.748931,-18.704814,,10x mHiggs
MC,43.143755,19.519993,,
,43.298657,19.821023,,
Pantheon,9.6565773,1.3354579,N,
